target_role,skills_count,projects_done,certifications,experience_years,learning_rate,career_readiness_score,months_to_job_ready
Graphic Designer,21,0,1,0.6825371546242307,12.481150827655888,12.493736907656789,10.75062630923432
Full Stack Developer,23,5,3,6.495679515986805,3.0684342828352706,67.29546261893967,5.270453738106033
Embedded Systems Engineer,32,6,3,3.3754522643357348,7.31352968031023,46.174816836276804,7.38251831637232
DevOps Engineer,12,5,1,6.183782402635028,1.6704292150606304,50.59551266093163,6.940448733906837
Frontend Developer,33,6,0,3.765513660465971,6.92475194725877,39.0396401013041,8.09603598986959
Backend Developer,25,4,0,2.7173151432249254,6.725283985019215,40.42434594511563,7.957565405488436
Embedded Systems Engineer,30,10,2,2.9974989991286023,7.504692310502034,62.79172314604587,5.720827685395413
Data Scientist,31,9,5,7.497975632248225,3.647927617297561,83.22911273655693,3.677088726344307
Product Manager,20,4,1,6.479180846019339,2.6740896378571515,37.96625524128689,8.20337447587131
System Administrator,15,8,3,5.135561373935283,2.444764070606821,65.87016590017468,5.412983409982532
Data Engineer,19,7,4,2.627926678461942,5.237151046298169,44.882279777496066,7.511772022250393
Video Editor,12,4,0,3.484030857806495,2.67616356366249,32.88107609803865,8.711892390196136
HR Analyst,25,6,5,5.9524655876204235,3.595846636697499,55.852783962159506,6.4147216037840495
AI Researcher,8,10,2,5.590992982433756,1.2137776540380965,58.06947676586964,6.193052323413037
Embedded Systems Engineer,16,2,5,6.8602302379107485,2.0355637832121323,59.72308643953616,6.027691356046384
Data Scientist,24,1,2,0.19811042378108912,20.031542605446127,24.29511503492534,9.570488496507465
SEO Specialist,28,2,2,0.5358074212782755,18.23145246732509,27.40094575030995,9.259905424969006
Cybersecurity Analyst,11,0,1,2.683423533777745,2.9863522071593875,24.171071709458836,9.582892829054117
Data Engineer,11,9,3,7.193396453306845,1.342544579978235,75.99547485930091,4.400452514069909
Game Developer,19,4,5,5.102663267396066,3.1133947864220066,54.40558652234709,6.559441347765291
Product Manager,15,7,4,5.184172313087263,2.4255469027368837,56.90050960408868,6.309949039591132
Embedded Systems Engineer,29,1,3,4.7876488108107536,5.010670299454051,35.189777974949365,8.481022202505063
Robotics Engineer,10,3,4,0.9286706781196221,5.18491835513858,32.645557727565304,8.73544422724347
Robotics Engineer,6,8,5,2.186167272982031,1.8831403017910033,47.03795889239172,7.2962041107608275
NLP Engineer,19,0,5,1.883824726314474,6.588472533239559,25.954642570940088,9.404535742905992
HR Analyst,7,1,3,0.90110194065082,3.682075037808668,20.96718603930954,9.903281396069046
NLP Engineer,25,10,1,7.160350401486785,3.063593935310069,63.48107698282376,5.651892301717624
Embedded Systems Engineer,22,1,5,4.715960148826369,3.848872180208806,50.634207457422235,6.936579254257777
HR Analyst,14,10,0,4.641106151620456,2.481782760988885,58.5431276574729,6.14568723425271
Sales Executive,10,10,5,3.157159526964926,2.4054886359631324,70.78704412718221,4.9212955872817785
Content Writer,12,8,0,5.585374761337706,1.8222197574010817,55.81154204314362,6.418845795685638
Game Developer,33,5,4,2.441600387932634,9.588562378046182,43.19268567005946,7.680731432994054
Database Administrator,10,6,4,2.5330126583948536,2.830445562157504,47.12628144749706,7.287371855250294
Digital Marketer,8,3,4,3.101279662136295,1.9506107017907968,28.79158304348018,9.120841695651983
Digital Marketer,34,7,3,2.817357011149399,8.906685934979569,59.799763194317876,6.020023680568213
Financial Analyst,6,5,4,3.2313879788619237,1.417974440059208,48.06722374550374,7.1932776254496265
NLP Engineer,15,0,3,5.682937843800175,2.244521848114395,32.701027141153425,8.729897285884658
Mobile App Developer,33,5,4,5.977769963287331,4.729304659457878,68.28468174378827,5.171531825621173
Data Analyst,19,7,2,1.3500158959915112,8.085051693654004,33.54352934431353,8.645647065568648
HR Analyst,14,0,4,3.0321879604674065,3.4720603645612633,24.103617312360406,9.58963826876396
Machine Learning Engineer,9,7,2,4.216487511005569,1.725298868445885,47.090929708495736,7.290907029150427
Frontend Developer,8,5,2,0.4426348637674451,5.545408752363004,26.024352365361203,9.39756476346388
Backend Developer,35,5,5,2.218977429562095,10.873018145008041,43.692182142219664,7.630781785778034
Full Stack Developer,14,7,4,6.803863396480063,1.7939832219916494,61.93513342794824,5.806486657205176
Embedded Systems Engineer,19,3,0,7.43162902399423,2.2534198250339204,36.97158408362943,8.302841591637057
Digital Marketer,10,8,4,6.4801903126413425,1.3368643820599377,71.01466397700558,4.898533602299442
